the              : 265364: определенный артикль
be               : 216236: быть, нужно, будь
and              : 164059: и
of               : 123410: показывает принадлежность
a                : 118190: неопределённый артикль
to               : 117665: к, по направлению, указывает на инфинитив глагола
i                :  91197: я, у меня, мне
have             :  78824: иметь, есть, позволять, уговаривать, уже
it               :  75173: это, именно
in               :  72921: в течение
he               :  69558: он, у него, ему
that             :  60841: что, чтобы это, этот, который
you              :  53377: ты, вы
not              :  49609: не, нет
his              :  45151: его
say              :  42469: говорить, скажем
on               :  39578: на, включать на, чтобы
with             :  35647: с, с помощью
as               :  33600: икак, как, так как, поскольку, по мере того как, столько, сколько, чем, такой же
for              :  32157: для
at               :  31221: при, ат
but              :  30525: но, лишь
do               :  28617: делать
they             :  28531: они, у них, им
her              :  27268: ее, она, у нее, ей
she              :  27023: она, у нее, ей
my               :  24444: мой, я
can              :  23949: мочь, можно ли, можно, канистра
will             :  23047: быть, если, воля(завещание)
him              :  23026: он
all              :  22308: все, весь, полностью
there            :  21233: там
me               :  21113: я
we               :  20374: у нас, нам
go               :  19730: ходить|пойти, проходить
from             :  18628: из, от, чтобы
what             :  18295: что, какой
this             :  17936: это, этот
out              :  17213: из
so               :  16983: таким образом, так что, так, такой
up               :  16905: по, вверх
see              :  16289: видеть, смотри
one              :  16131: один
come             :  16025: приходить, начинать
them             :  15926: он, они
no               :  15593: без, не
by               :  15402: к, , что
know             :  14941: знать
if               :  14787: при
look             :  14398: смотреть, выглядеть, смотреть, взгляд
when             :  13791: при
get              :  13726: получать, становиться, убеждать, понять, осознать, удивить, изумить
or               :  13214: или
then             :  12832: затем, тогда
like             :  12262: любить, хотеть, похожий
now              :  12145: теперь
think            :  11845: думать
which            :  11750: что
into             :  11443: на
their            :  11124: их
about            :  10820: около, почти, вновь
make             :  10706: заставлять
down             :  10541: вниз по
time             :  10397: врем)время
take             :  10264: брать, требоваться, требовать, передавать, принимать, выбирать
your             :   9982: ваш
man              :   9589: человек
more             :   9564: более, больший, дополнительный, больше
who              :   9498: кто, который
back             :   9440: возвращать, обратная сторона, спина, обратно, в ответ
mister           :   9182: господин
some             :   8960: около
very             :   8710: очень
over             :   8257: в течение, через, заканчиваться, пере, выше
hand             :   8145: передавать, рука
little           :   7902: немного, небольшой
tell             :   7760: сообщать
us               :   7742: сша
may              :   7552: мочь, возможно, май, можно, нельзя
well             :   7524: хорошо, хороший, колодец, геол)скважина
other            :   7464: другой
before           :   7287: до, прежде, прежде, чем
way              :   6981: путь, способ
again            :   6907: снова, кроме того
shall            :   6907: быть, должен, если
find             :   6865: находить|найти, обнаруживать, оказываться, начинать
just             :   6845: безошибочный, верный, правильный, точный, только что (в данный момент), только, едва
eye              :   6660: искать, глаз
don              :   6604: дон
than             :   6596: чем
here             :   6568: здесь, сюда
any              :   6503: любой
how              :   6404: как
where            :   6342: где, куда
old              :   6215: старый
good             :   6173: хорошо, хороший
leave            :   6116: оставлять, оставаться, уходить
give             :   6041: давать
even             :   6015: даже, ровный, четный
day              :   5992: день, дневной
away             :   5982: прочь
through          :   5941: через
off              :   5915: хитрая частица
too              :   5880: слишком, тоже
great            :   5877: большой
never            :   5848: никогда
after            :   5823: после, впоследствии, после того, как
long             :   5804: долго (длиной), длинно, длинный, длиннее
hear             :   5763: слышать, получать известие
turn             :   5601: поворачивать, поворот, оборот
feel             :   5562: чувствовать
much             :   5503: значительно, очень, много, многое
head             :   5501: голова, инф)мех)головка, союз)глава, главный
our              :   5491: наш
seem             :   5487: казаться, кажется,
right            :   5460: право, правый, правильный, вправо
must             :   5434: должен, по-видимому, должны
face             :   5310: сталкиваться с, лицо, лицевой
two              :   5243: два, двух
still            :   5211: все еще, все же, неподвижный
want             :   4910: хотеть
door             :   4861: дверь, вход
first            :   4668: сначала, первый
upon             :   4553: с
last             :   4507: последний раз, последний, прошлый
something        :   4502: что-то, кое-чем
though           :   4459: все-же, хотя
night            :   4357: ночь, ночной
light            :   4346: зажигать, свет, светлый, легкий, световой
stand            :   4314: устанавливать, стоять, стенд
open             :   4261: открывать, открытый
room             :   4157: размещать, комната
keep             :   4124: держать, сохранять, продолжать, встр)проводить
place            :   4110: устанавливать, место
ask              :   4068: спрашивать, просить
ever             :   4035: когда-либо
around           :   3955: вокруг, около, везде
try              :   3912: пытаться, пробовать, попытка
let              :   3906: позволять, давайте
sit              :   3862: сидеть
himself          :   3853: сам, себя
such             :   3845: такой
people           :   3792: люди
begin            :   3789: начинать, начало
own              :   3782: обладать, принадлежать, собственный
house            :   3758: размещать, дом
nothing          :   3716: ничто
call             :   3708: называть, звать, комм)вызов, вызывать, встр)созывать, призыв, призывать
once             :   3679: как только, один раз
thing            :   3658: вещь
put              :   3653: помещать, устанавливать
voice            :   3644: высказывать, голос, речевой
mr               :   3634: м-р
why              :   3615: почему
these            :   3559: они, этот
mean             :   3544: означать, хотеть, предназначаться, средство, средний
speak            :   3538: говорить
because          :   3516: поскольку
another          :   3481: другой
many             :   3464: много, многий
those            :   3457: тот
while            :   3441: пока
most             :   3408: наиболее, больше всего, самый, большинство
real             :   3405: реальный
work             :   3368: прокладывать, работать, работа, труд, рабочий
under            :   3295: по
world            :   3279: мир, мировой
behind           :   3273: за, позади
fall             :   3268: падать, падение, осень
hold             :   3246: держать, встр)проводить, воздерживаться, хранилище, транс)трюм
year             :   3230: год, летний
word             :   3221: слово, известие, текстовый
run              :   3191: запускать, бежать, работать, достигать, прогон
bond             :   3182: подписывать обязательство, обязательство, облигация, закладная, связь
mind             :   3174: одуш)возражать, слушаться, обращать внимание, ум, мнение
every            :   3138: каждый
without          :   3135: без, не
dark             :   3108: темный
far              :   3086: значительно, дальний, далеко
new              :   3067: новый, вновь
foot             :   3054: фут, нога
walk             :   3049: проходить
yet              :   3016: пока, все еще
end              :   2966: заканчивать, конец, конечный, авто)торцевой
side             :   2950: сторона, боковой
moment           :   2934: момент
talk             :   2909: говорить|поговорить, уговаривать, разговор
black            :   2907: черный
always           :   2902: всегда
